label,id,source
A1.1,7,iit
A1.2,6,iit
A1.3,5,iit
A1.4,1,iit
A1.5,2,iit
A1.6,3,iit
A1.7,4,iit
A8,17,iit
A9,19,iit
A10a,28,iit
A11,32,iit
A12-dom,20,iit
A12,33,iit
A13,36,iit
A14,37,iit
A15,38,iit
A16,41,iit
A17,42,iit
A18,43,iit
A19,46,iit
A20,47,iit
A21,48,iit
A22-server,9,iit
A22,49,iit
A23,44,iit
A23a,45,iit
A23b,40,iit
A23c,39,iit
A24,35,iit
A25-26,34,iit
A27,31,iit
A27a,30,iit
A28,29,iit
A32,52,iit
A32a,51,iit
A33a,50,iit
Area47,273,iit
Aula10,18,iit
Aula40,53,iit
B1,54,iit
B2,55,iit
B3,56,iit
B4,57,iit
B5,58,iit
B6,59,iit
B11,60,iit
B63,65,iit
B63b,66,iit
B63c,67,iit
B63a,68,iit
B64,69,iit
B64a,70,iit
B64b,71,iit
B65,72,iit
B65a,73,iit
B65b,74,iit
B65c,76,iit
B65d,75,iit
B65e,77,iit
B66,79,iit
B66a,78,iit
B66b,80,iit
B66c,81,iit
B67,82,iit
B67a,83,iit
B68,84,iit
B69,85,iit
B7,64,iit
B70,86,iit
B71,87,iit
B72,88,iit
B73,89,iit
B74,90,iit
B75,91,iit
B76,94,iit
B76a,93,iit
B76b,92,iit
B8,63,iit
B9,61,iit
B9a,62,iit
CED1a,8,iit
CED13,21,iit
CED16,22,iit
CED17,23,iit
CED18,24,iit
CED19,25,iit
CED20,26,iit
CED21,27,iit
CED22b,14,iit
CED-archivio-registro,11,iit
CED-locale-tecnico,12,iit
CED-sala-macchine,13,iit
IFC55,274,iit
IFC68,275,iit
IGG-4,269,iit
IPCF-5a,272,iit
IPCF-7,271,iit
IPCF-9,270,iit
ISTI-C25a,184,iit
ISTI-I87,256,iit
A-11,16,iit
C-10,172,isti
C-12,170,isti
C-12a,169,isti
C-13,168,isti
C-14,171,isti
C-15,173,isti
C-16,174,isti
C-17,175,isti
C-18,176,isti
C-19,177,isti
C-20,178,isti
C-21,179,isti
C-22,180,isti
C-23,181,isti
C-24,182,isti
C-25,183,isti
C-25b,185,isti
C-26,186,isti
C-27,187,isti
C-28,188,isti
C-29,189,isti
C-30,190,isti
C-31,191,isti
C-32,192,isti
C-33,193,isti
C-34,194,isti
C-35,195,isti
C-36,196,isti
C-36b,197,isti
C-37,198,isti
C-38,199,isti
C-39,200,isti
C-40,201,isti
C-41,202,isti
C-41a,203,isti
C-42,204,isti
C-43,205,isti
C-44,206,isti
C-45,207,isti
C-46,208,isti
C-47,209,isti
C-48,210,isti
C-49,211,isti
C-50,212,isti
C-51,213,isti
C-52,214,isti
C-53,215,isti
C-54,216,isti
C-54a,217,isti
C-55,218,isti
C-56,224,isti
C-57,223,isti
C-58,222,isti
C-59,221,isti
C-60,220,isti
C-60a,219,isti
C-61,225,isti
C-61a,226,isti
C-62,227,isti
C-63,228,isti
C-64,229,isti
C-65,230,isti
C-66,231,isti
C-67,232,isti
C-68,233,isti
C-69,234,isti
C-70,235,isti
C-70a,236,isti
C-71,237,isti
C-72,238,isti
C-73,239,isti
C-74,240,isti
I-01,100,isti
I-02,99,isti
I-03,98,isti
I-04,97,isti
I-05,96,isti
I-06,95,isti
I-07,133,isti
I-07a,132,isti
I-08,131,isti
I-09,130,isti
I-10,129,isti
I-11,128,isti
I-12,101,isti
I-14,102,isti
I-15,105,isti
I-15a,103,isti
I-15b,104,isti
I-15c,106,isti
I-15d,107,isti
I-16,108,isti
I-17,109,isti
I-18,110,isti
I-19,111,isti
I-20,112,isti
I-21,113,isti
I-22,114,isti
I-23,115,isti
I-24,116,isti
I-25,117,isti
I-26,118,isti
I-27,119,isti
I-28,120,isti
I-29,121,isti
I-30,122,isti
I-31,123,isti
I-32,124,isti
I-33,125,isti
I-34,126,isti
I-35,127,isti
I-36,141,isti
I-37,134,isti
I-38,135,isti
I-39,136,isti
I-40,137,isti
I-41,138,isti
I-42,139,isti
I-43,140,isti
I-44,167,isti
I-45,166,isti
I-46a,163,isti
I-46b,164,isti
I-46c,165,isti
I-47,162,isti
I-48,160,isti
I-48a,159,isti
I-48b,161,isti
I-49,156,isti
I-49a,158,isti
I-49b,157,isti
I-50,155,isti
I-51,154,isti
I-51a,153,isti
I-52,152,isti
I-53,151,isti
I-54,150,isti
I-55,149,isti
I-56,148,isti
I-57,147,isti
I-58,146,isti
I-58b,145,isti
I-59,144,isti
I-60,143,isti
I-61,142,isti
I-77,241,isti
i-77a,242,isti
I-78,247,isti
I-78a,246,isti
I-78b,245,isti
I-78c,244,isti
I-78d,243,isti
I-79,248,isti
I-80,249,isti
I-81,250,isti
I-82,251,isti
I-83,252,isti
I-84,253,isti
I-85,254,isti
I-86,255,isti
I-88,257,isti
I-89,258,isti
I-90,259,isti
I-91,260,isti
I-92,261,isti
I-93,262,isti
I-94,263,isti
I-95,264,isti
I-96,265,isti
I-97,266,isti
I-98,267,isti
Library,268,isti